Timestamp, Location, SSID, BSSID, Signal Strength, Frequency
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_STAFF, 20:58:69:39:70:e8, -50, 2437MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_Student, d8:38:fc:b5:9b:58, -76, 2412MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, MIFI_DA0E, d4:a3:eb:c4:da:0e, -73, 2452MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, LordOfThePings, 16:78:45:28:8c:ec, -70, 2462MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_Student, 18:4b:0d:dc:30:98, -57, 2412MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_Student, d8:38:fc:b5:dc:e8, -48, 2462MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_STAFF, 18:4b:0d:1c:30:98, -57, 2412MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, Attendance, 58:b6:33:7a:1c:d8, -63, 2437MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_STAFF, 58:b6:33:3a:1c:d8, -63, 2437MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, OnePlus 11R, 96:5f:3a:f1:97:0a, -83, 2437MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, Mikey, c2:00:11:f9:1a:e2, -74, 2437MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_Student, 60:d0:2c:df:63:9c, -56, 5220MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_STAFF, d8:38:fc:35:dd:28, -74, 2412MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, TP-Link_13F8_5G_203, 9c:53:22:e7:13:fa, -76, 5765MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, Lenovo Thinkpad, da:f2:ca:b3:ec:46, -85, 2462MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DA_Public, d8:38:fc:75:dd:28, -74, 2412MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_STAFF, 18:4b:0d:23:60:78, -61, 2437MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, Attendance, 18:4b:0d:63:60:78, -61, 2437MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, Preksha's S23 FE, 42:8d:f9:10:07:d3, -81, 2462MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DAIICT_STAFF, d8:38:fc:35:9b:58, -76, 2412MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, DA_Public, 58:b6:33:ba:1c:d8, -62, 2437MHz
2024-11-14 15:37:24, LAB_1_3PM_B_1, Infinix HOT 30i, 7a:4e:e4:0c:11:55, -46, 2467MHz
